"","Séquentiel","SID","Heure de soumission","Heure de complétion","Heure de modification","Brouillon","Adresse IP","UID","Nom d'utilisateur","Êtes vous ...","Quel âge avez-vous ?","Vous êtes ...","Veuillez préciser votre niveau d'étude","Par votre milieu professionnel","Par votre milieu scolaire, étudiant","Par vos proches","Par hasard et au gré de vos navigations sur Internet","Par Wikipédia","Autre...19","Veuillez préciser...20","Dans le cadre scolaire à la maison (devoirs, révisions etc.)","Dans le cadre scolaire en classe (en cours, club etc.)","Pour ma culture générale","Pour le travail","Pour mon simple loisir","Autre...26","Veuillez préciser...27","Quel est votre degré de contribution ?","Qu'est ce qui vous a motivé à contribuer pour la première fois ?","Je me plais au sein de la communauté","J'ai des responsabilités","Les domaines abordés m'intéressent","J'aime contribuer au projet Vikidia","Autre...34","Veuillez préciser...35","De la patrouille","Des ajouts sur la partie technique","Des corrections orthographiques ou typographiques","Des travaux de catégorisation et d'ajout de portail","Des créations ou améliorations d'articles","De l'aide aux nouveaux utilisateurs","Autre...42","Veuillez préciser...43","Patrouilleur","Administrateur","Bureaucrate","Vérificateur d'IP","Nuker","Plus maintenant","Trouvez-vous les articles de Vikidia accessibles ?","Les articles y sont plus faciles à comprendre","Vikidia est plus adaptée à mon niveau/âge","Je préfère l'ambiance au sein de la communauté vikidienne","La communauté vikidienne est de plus petite taille","Je consulte peu Vikidia, je suis surtout contributeur","Je préfère Wikipédia","Autre...57","Veuillez préciser...58","Lorsque vous ne trouvez pas des informations sur Vikidia, où allez-vous en priorité ?","Quel est votre niveau de confiance en ce qui concerne la fiabilité des articles de Vikidia ?","Que pensez-vous des pages d'aide ?","Veuillez préciser...62","La qualité des articles","L'accessibilité des sujets traités","La qualité et la pertinence des illustrations","La diversité des sujets traités","La qualité synthaxique et typographique","Le projet Vikidia en général","Non","Il m'arrive de parler de mes découvertes sur l'encyclopédie","Je recommande le site à mes proches","Autre...72","Veuillez préciser...73","Selon vous, comment Vikidia est-elle perçue par le grand public ?","Veuillez préciser...75","Pensez vous que les Wikipédiens vous infantilisent à cause de votre contribution à Vikidia ?","Vikidia a-t-elle des répercutions positives ou négatives sur votre vie ?","Avez-vous déjà fait un don à Vikidia ?","Pourquoi ?...79","Pourquoi ?...80","En quelle année avez-vous rejoint la communauté Vikidienne ?","Comment avez-vous jugé votre accueil sur Vikidia ?","Veuillez préciser...83","Vous sentez-vous suffisamment intégré à la communauté vikidienne ?","Veuillez préciser...85","Comment évaluez vous votre participation aux canaux de discussion ?","Discord","Les Bavardages","IRC","Les pages de discussion","Autres canaux de discussion","Veuillez préciser...92","Avez-vous des points d'amélioration à suggérer pour le projet Vikidia ? (Réponse optionnelle)","Avez-vous des points d'amélioration sur le fonctionnement de l'association Vikidia ? (Réponse optionnelle)","is_contrib","activite","annee","motivations_contrib","alternatives"
"213",216,9322989,"14/08/2021 - 00:22","14/08/2021 - 00:22","14/08/2021 - 00:22",0,"0.0.0.0",0,"Anonymous","masculin","Entre 51 et 60 ans","Retraité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,"X","je cherchais  """"les langues régionales en France"""" et suis tombé sur cotre article fort bien documenté","Consulte Vikidia pour la première fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,NA,"X","c'est ma première consultation, je vous en dirai plus en lisant d'autres articles","le moteur de recherche Google","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","X",NA,NA,NA,NA,"Autre","je n'en sais rien !","Non","pour le moment:  aucune!","Non",NA,"je débute !",NA,"Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","Facebook ça compte? Sinon, je parle avec mes amis, en """"direct live"""" ou par téléphone.",NA,NA,"0","Retraité",NA,NA,"le moteur de recherche google"
"214",217,9323041,"14/08/2021 - 04:58","14/08/2021 - 04:58","14/08/2021 - 04:58",0,"0.0.0.0",0,"Anonymous","féminin","Plus de 60 ans","Retraité",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,"Consulte Vikidia pour la première fois","Recherche des superficies des pays du monde",NA,NA,NA,NA,"X","Par plaisir",NA,NA,NA,NA,NA,NA,"X","Aucune jusque ici",NA,NA,NA,NA,NA,"X","Moyennement accessibles",NA,NA,NA,NA,NA,NA,"X","C est la première fois que je consulte difficile de répondre","Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,"X","Je vais recommander","Vikidia devrait gagner en popularité",NA,"Non","Pour l instant non","Non",NA,"Je savais pas qu il existait","Je n ai pas encore rejoint la communauté","Bon",NA,"Non","Première intrusion à la communauté","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Pas de réponse","Non pas pour l'instant","Non pas pour l'instant","0","Retraité",NA,NA,"wikipedia"
"215",218,9324248,"14/08/2021 - 20:08","14/08/2021 - 20:08","14/08/2021 - 20:08",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 8 et 13 ans","Étudiant, élève","École primaire (du CP au CM2)",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X","X",NA,NA,"X",NA,NA,"Youtube,Wikipédia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Non.Pas réellement.","Non",NA,"Je suis mineur.","2020/2021","Bon",NA,"Non","Je viens de la rejoindre.","Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","Élève en école primaire","2020",NA,"youtube,wikipedia"
"216",219,9324283,"14/08/2021 - 20:53","14/08/2021 - 20:53","14/08/2021 - 20:53",0,"0.0.0.0",0,"Anonymous","féminin","Entre 26 et 35 ans","En recherche d'emploi",NA,"X",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","Vadrouille","A contribué une ou deux fois","La gloire",NA,NA,NA,NA,"X","La connaissance","X",NA,NA,NA,NA,NA,"X","Vadrouille",NA,NA,NA,"X","X",NA,"Plutôt accessibles",NA,NA,NA,NA,NA,NA,"X","La touche w de mon clavier ne marche plus","Sur kikourou","Les informations trouvées sur Vikidia sont à prendre avec précaution","Je pense qu'elles pourraient être améliorées","Plus de mise en paage.","Plutôt bonne","Très bonne","Moyenne","Très bonne","Moyenne","Très bonne",NA,NA,NA,"X","Et même plus j en fais la promotion. Sponso","Autre","C est le mouton à 5 pattes de la web","Non","Cela dépend de la charge","Oui","Pourquoi pas ?",NA,"12","Bon",NA,"Non","Personne est venu à mes anniversaires d avant, alors qu'à ceux de Sofi si","Il m'arrive de répondre aux messages","X","X","X",NA,"X","mIRC / dans ton chat / forum*****.net / archives du net","On en parlera IRL","Idem","1","En recherche d'emploi",NA,NA,"sur kikourou"
"217",220,9324592,"15/08/2021 - 08:33","15/08/2021 - 08:33","15/08/2021 - 08:33",0,"0.0.0.0",0,"Anonymous","féminin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X","X",NA,NA,NA,NA,"X","X","X",NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,"X",NA,NA,"Wiki ou n’importe quel autre site","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Oui","Aucune répercussion","Non",NA,"J’estime ne pas avoir à le faire",NA,"Moyen",NA,"Non","Aucun échange","Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Aucun echange",NA,NA,"0","En activité",NA,NA,"wiki ou n'importe quel autre site"
"218",221,9324756,"15/08/2021 - 10:56","15/08/2021 - 10:56","15/08/2021 - 10:56",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Préfère ne pas le dire","Retraité",NA,NA,NA,"X","X","X","X","En cherchant du sens à mes noms",NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas","Le cours des évènements","X","X","X","X",NA,NA,"X","X","X","X","X","X","X","AsASoB","X","X","X","X","X","X","Très accessibles","X",NA,NA,"X",NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont tout à fait fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Très bonne","X","X","X","X","Oui !!!","Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Je sais mettre un thé à la place d'une fe(ss)ée, :oops: !","Non",NA,"Je l'ignorais !","2001","Laisse à désirer","Littéralement, oui, « laisse à désirer » avec un très mauvais anglais.","Non","J'ai toute une vie pour produire des efforts et accepter de mieux en mieux l'aide ou l'assistance !","Je suis très actif sur les canaux",NA,"X",NA,NA,NA,NA,"Ayez du nez !","Ayez du cœur !","0","Retraité","2001",NA,"wikipedia"
"219",222,9325126,"15/08/2021 - 14:36","15/08/2021 - 14:36","15/08/2021 - 14:36",0,"0.0.0.0",0,"Anonymous","féminin","Entre 51 et 60 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,NA,"X","Hasard","Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Très bonne","Très bonne","Très bonne","Plutôt bonne","Plutôt bonne","Moyenne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Première fois que je voit Vikidia","Non",NA,"Première fois que j'en entends parler.","2021","Bon",NA,"Non","C'est la première fois que j'y vais.","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Qu'est-ce qu'est un canal de discussion ?",NA,NA,"0","En activité","2021",NA,"wikipedia"
"220",223,9325430,"15/08/2021 - 16:59","15/08/2021 - 16:59","15/08/2021 - 16:59",0,"0.0.0.0",0,"Anonymous","masculin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,NA,NA,NA,NA,NA,"X","Je le consulte pour trouver des contenus adaptés à mes élèves de primaire","Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","?","Non",NA,"Usage peu fréquent pour le moment, dons à wikimedia. Les 2 projets gagneraient à fusionner, vikidia pourrait être le Wikipedia jr","Je suis simple utilisateur","Excellent",NA,"Non","Je ne fais pas partie de la communauté, je suis simple utikisateur","Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,"Pourquoi vikidia ne deviendrait il pas Wikipedia junior ?",NA,"0","En activité",NA,NA,"wikipedia"
"221",224,9325463,"15/08/2021 - 17:11","15/08/2021 - 17:11","15/08/2021 - 17:11",0,"0.0.0.0",0,"Anonymous","féminin","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,"X",NA,NA,"A contribué une ou deux fois","Il n'y avait pas un thème qui me tient à coeur",NA,NA,NA,"X",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,"X",NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Très bonne","Très bonne","Moyenne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Oui","Très positives","Non",NA,"Je n'ai pas de carte","2019","Bon",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,NA,NA,"1","Élève au collège","2019",NA,"wikipedia"
"222",225,9326100,"15/08/2021 - 23:00","15/08/2021 - 23:00","15/08/2021 - 23:00",0,"0.0.0.0",0,"Anonymous","féminin","Entre 26 et 35 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"d'autres sites scientifiques","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Très bonne","Très bonne","Très bonne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","J'utilise Vikidia dans le cadre de mon travail. En effet, je suis enseignante dans le secondaire et je trouve que les articles sont plus accessibles pour les adolescents. Elle a donc des répercussions positives sur ma vie en m'aidant dans mon travail. En effet, la vulgarisation est alors plus facile.","Non",NA,"parce que je ne fais quasiment jamais de don","2018","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??","X",NA,NA,NA,NA,NA,NA,NA,"0","En activité","2018",NA,"d'autres sites scientifiques"
"223",226,9326257,"16/08/2021 - 01:37","16/08/2021 - 01:37","16/08/2021 - 01:37",0,"0.0.0.0",0,"Anonymous","masculin","Entre 26 et 35 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia pour la première fois","Pour vous aider",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X","Conditions",NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,NA,"X",NA,NA,NA,NA,NA,"Google","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Positifs","Non",NA,"Je pa le moin","2021","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","Dan le réseau sociaux","Non","Non","0","En activité","2021",NA,"google"
"224",227,9328215,"16/08/2021 - 14:35","16/08/2021 - 14:35","16/08/2021 - 14:35",0,"0.0.0.0",0,"Anonymous","préfère ne pas le dire","Entre 8 et 13 ans","Étudiant, élève","Collège",NA,"X",NA,"X","X",NA,NA,"X","X","X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X","X",NA,NA,NA,"X",NA,NA,"Sur Wikipédia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Plutôt bonne","Moyenne","Moyenne","Moyenne","Plutôt bonne",NA,"X","X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Pas spécialement","Non",NA,"Comme c'a.",NA,"Excellent",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Aucun enfaite",NA,NA,"0","Élève au collège",NA,NA,"sur wikipedia"
"225",228,9328427,"16/08/2021 - 15:16","16/08/2021 - 15:16","16/08/2021 - 15:16",0,"0.0.0.0",0,"Anonymous","féminin","Entre 14 et 18 ans","Étudiant, élève","Collège",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"Contribue plusieurs fois par mois",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Au bibliothèque pour rechercher","Les informations trouvées sur Vikidia sont à prendre avec précaution","Elles sont suffisamment claires",NA,"Plutôt mauvaise","Plutôt mauvaise","Très mauvaise","Plutôt mauvaise","Très mauvaise","Plutôt mauvaise",NA,NA,"X",NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Négative","Non",NA,"Par ce que j'ai pas de soucis à lui mandait","2020","Excellent",NA,"Non","Par ce que wikidia nous aide à rechercher tous ce que nous voulons","Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,"7/7","Oui","1","Élève au collège","2020",NA,"au bibliotheque pour rechercher"
"226",229,9329629,"16/08/2021 - 20:09","16/08/2021 - 20:09","16/08/2021 - 20:09",0,"0.0.0.0",0,"Anonymous","masculin","Entre 8 et 13 ans","Étudiant, élève","École primaire (du CP au CM2)",NA,NA,"X",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas","Pour avoir été confronté au questionnaire avant de recevoir mes explications","X","X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Google","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","Répercutions positives","Non",NA,"Je n'ai jamais trouver l'occasion","2021","Bon",NA,"Oui",NA,"Je suis plutôt actif sur les canaux",NA,"X",NA,NA,NA,NA,"Non","Non","0","Élève en école primaire","2021",NA,"google"
"227",230,9329665,"16/08/2021 - 20:29","16/08/2021 - 20:29","16/08/2021 - 20:29",0,"0.0.0.0",0,"Anonymous","féminin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,"Consulte Vikidia pour la première fois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles",NA,"X",NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Moyenne","Plutôt bonne","Moyenne","Plutôt bonne","Très mauvaise","Plutôt bonne",NA,"X",NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positiveoui","Non",NA,"Première fois sur ce site",NA,"Bon",NA,"Non","Première fois sur ce site","Quels canaux de discussion ??",NA,NA,NA,NA,"X","Je ne sais pas de quoi il s'agit",NA,NA,"0","En activité",NA,NA,"wikipedia"
"228",231,9331259,"17/08/2021 - 11:53","17/08/2021 - 11:53","17/08/2021 - 11:53",0,"0.0.0.0",0,"Anonymous","féminin","Entre 51 et 60 ans","En activité",NA,NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,"X",NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X","X",NA,NA,NA,NA,NA,NA,"wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Très bonne","Plutôt bonne","Très bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia est de plus en plus connue et elle gagne en confiance",NA,"Non","???","Non",NA,"Je fais des dons à wikipedia et pensais que vikidia en profitait naturellement ...","2007","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","X-Incohérence ds les réponses proposées : j'ai répondu à la question précédente que je n'utilisais pas les canaux de discussion !",NA,NA,"0","En activité","2007",NA,"wikipedia"
"229",232,9332628,"17/08/2021 - 16:32","17/08/2021 - 16:32","17/08/2021 - 16:32",0,"0.0.0.0",0,"Anonymous","masculin","Entre 51 et 60 ans","En activité",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas","Donner un but, une finalité à des apprentissages",NA,NA,NA,NA,"X","Faire créer des pages par des collégiens",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plutôt accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipédia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","A voir dans l'avenir","Non",NA,"Déjà fait à Wikipédia, cela va venir","2021","Bon",NA,"Non","Je n'ai pas encore commencé","Je les connais mais je n'y ai jamais participé",NA,NA,NA,NA,"X","Je n'ai pas encore commencé",NA,NA,"0","En activité","2021",NA,"wikipedia"
"230",233,9333562,"17/08/2021 - 21:32","17/08/2021 - 21:32","17/08/2021 - 21:32",0,"0.0.0.0",0,"Anonymous","féminin","Entre 36 et 50 ans","En activité",NA,"X","X",NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,NA,"X","Je suis enseignante et maman. Je demande à mes enfants ou à mes élèves de consulter vikidia car les informations sont plus succinctes mais très largement suffisantes pour un public de 6 à 11 ans.","Encyclopédie en ligne - Wikipedia / Larousse …","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Très bonne","Moyenne","Plutôt bonne","Plutôt bonne","Très bonne",NA,NA,"X",NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Positivé","Non",NA,"Je n’y ai jamais songé","2010 ?","Excellent",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,"X",NA,NA,NA,NA,NA,"0","En activité","2010",NA,"encyclopedie en ligne - wikipedia / larousse ..."
"231",234,9334002,"18/08/2021 - 07:10","18/08/2021 - 07:10","18/08/2021 - 07:10",0,"0.0.0.0",0,"Anonymous","féminin","Entre 51 et 60 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles",NA,NA,NA,NA,NA,"X","X","Pour expliquer aux enfants je prefere utiliser les mots de  vikidia plutot que ceux de Wiki.","wiki","Les articles de Vikidia sont plutôt fiables","Il existe des pages d'aide ??",NA,"Plutôt bonne","Très bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne",NA,"X","X",NA,NA,"Autre","je ne sais pas","Non","tres bizarre comme question","Non",NA,"je ne sais pas","je ne sais pas","Bon",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,NA,"X","aucuns","non","non","0","En activité",NA,NA,"wiki"
"232",235,9335223,"18/08/2021 - 13:05","18/08/2021 - 13:05","18/08/2021 - 13:05",0,"0.0.0.0",0,"Anonymous","masculin","Entre 14 et 18 ans","Étudiant, élève","Lycée",NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"A contribué une ou deux fois",NA,NA,NA,NA,NA,"X","Pour éviter que des """"Fake News"""" (et il y en a sur le site) se répendent.",NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,"Plutôt accessibles",NA,NA,NA,NA,NA,"X",NA,NA,"Je vais sur des journaux de confiance comme Le Monde par exemple.","Je me méfie des informations que je trouve sur Vikidia","Je n'en ai jamais eu besoin",NA,"Très mauvaise","Plutôt bonne","Plutôt bonne","Moyenne","Très bonne","Très bonne",NA,"X",NA,NA,NA,"Vikidia est peu connue, et le grand public en est méfiant",NA,"Non","Positives, mais les nombreuses """"Fake News"""" dites par des gens qui n'ont pas de connaissances sur le sujet où qui veulent juste répendre le mal ont tendence à m'enerver (par exemple sur Georges Lucas, page que j'ai moi-même réctifiée).","Non",NA,"Parce que je ne veux/peux pas",NA,"Moyen",NA,"Oui",NA,"Quels canaux de discussion ??",NA,NA,NA,"X",NA,NA,"Oui, l'idée est bonne, mais je pense sincéremement que les auteurs et les participateurs à Vikidia doivent impérativement citer au moins trois sources fiables pour pouvoir modifier une page ou même la créer, et je pense aussi que tous ce qui est écris sur le cite doit être relus, validé et amélioré par au moins un certain nombre de membres fiables de la communauté","Oui, une exclusion des diffuseurs de fausses informations serait une bonne décision et permettrait d'avoir une communauté plus centrée sur les valeurs de Vikidia.","1","Élève au lycée",NA,NA,"je vais sur des journaux de confiance comme le monde par exemple."
"233",236,9336714,"18/08/2021 - 20:00","18/08/2021 - 20:00","18/08/2021 - 20:00",0,"0.0.0.0",0,"Anonymous","masculin","Préfère ne pas le dire","Retraité",NA,NA,NA,NA,NA,NA,"X","Wiki création",NA,NA,"X",NA,NA,NA,NA,"Contribue une fois par mois ou moins","J'adore",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","Très accessibles",NA,NA,NA,NA,NA,NA,"X","Objectif nouvelles avec de l'ancien","Wikipédia","Les articles de Vikidia sont tout à fait fiables","Elles sont suffisamment claires",NA,"Très bonne","Très bonne","Très bonne","Très bonne","Très bonne","Très bonne",NA,NA,NA,"X","Choix des personnes","Vikidia devrait gagner en popularité",NA,"Non","Oui de recherche et du savoir plus","Oui","Aime la créativité",NA,"1970","Excellent",NA,"Oui",NA,"Je suis plutôt actif sur les canaux",NA,NA,"X",NA,NA,NA,"Avenir dans l'avenir bientôt","Sa viendra Moix","1","Retraité","1970",NA,"wikipedia"
"234",237,9336822,"18/08/2021 - 20:50","18/08/2021 - 20:50","18/08/2021 - 20:50",0,"0.0.0.0",0,"Anonymous","masculin","Entre 36 et 50 ans","En activité",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"Consulte Vikidia mais n'y contribue pas",NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Très accessibles","X",NA,NA,NA,NA,NA,NA,NA,"Wikipedia","Les articles de Vikidia sont plutôt fiables","Je n'en ai jamais eu besoin",NA,"Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","Plutôt bonne","X",NA,NA,NA,NA,"Vikidia devrait gagner en popularité",NA,"Non","Oui sa me donne de la valeur","Oui","J'attend",NA,"2021","Excellent",NA,"Oui",NA,"Je les connais mais je n'y ai jamais participé",NA,NA,NA,"X",NA,NA,NA,NA,"0","En activité","2021",NA,"wikipedia"
